Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16792419201700000003P;FA050676;PAGO CONFIRMADO;104.53;0;22/05/2017;30/05/2017;104.53;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911264201600000235P;FA050673;PAGO CONFIRMADO;510.51;0;22/05/2017;30/05/2017;510.51;30/05/2017;ARCSA;22/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910623201600000087P;FA050658;PAGO CONFIRMADO;542.12;0;22/05/2017;30/05/2017;542.12;30/05/2017;ARCSA;22/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16777925201700000107P;FA050655;PAGO CONFIRMADO;68.06;0;22/05/2017;30/05/2017;68.06;30/05/2017;ARCSA;22/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901726201700000252P;FA050638;PAGO CONFIRMADO;180.86;0;22/05/2017;30/05/2017;180.86;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901726201700000295P;FA050648;PAGO CONFIRMADO;90.43;0;22/05/2017;30/05/2017;90.43;30/05/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901726201700000294P;FA050635;PAGO CONFIRMADO;90.43;0;22/05/2017;30/05/2017;90.43;30/05/2017;ARCSA;29/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910623201600000006P;FA050579;PAGO CONFIRMADO;542.12;0;22/05/2017;30/05/2017;542.12;30/05/2017;ARCSA;22/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16931954201600000072P;FA050619;PAGO CONFIRMADO;904.34;0;22/05/2017;30/05/2017;904.34;30/05/2017;ARCSA;24/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16911264201600000236P;FA050578;PAGO CONFIRMADO;510.51;0;22/05/2017;30/05/2017;510.51;30/05/2017;ARCSA;22/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
