Número de Solicitud;Orden de Pago No.;Estado de Procesamiento;Monto de Orden de Pago;Monto de Deducción de Nota de Crédito;Fecha Otorgada de Orden de Pago;Fecha de Vencimiento de Orden de Pago;Monto Recaudado;Fecha de Recaudación;Institución;Fecha de Emisión de Orden de Pago;Banco de Pago;Canal de Recaudación;Tipo de Liquidación
req_no;taxt_pnn;afr_prst_nm;fee_pric;crdn_ddct_pric;fee_isud_de;fee_epdt;levy_pric;levy_de;orgz_nm;fee_iss_de;bank_cd;levy_chn_cd;ntfc_tp_cd
-;-;-;-;-;-;-;-;-;-;-;-;-;-
16792791201700000029P;FA051445;PAGO CONFIRMADO;904,34;0;31/05/2017;08/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932604201700000046P;FA051421;PAGO CONFIRMADO;90,43;0;31/05/2017;08/06/2017;90.43;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16901637201700000735P;FA051435;PAGO CONFIRMADO;904,34;0;31/05/2017;08/06/2017;904.34;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910876201600000188P;FA051361;PAGO CONFIRMADO;2258,41;0;31/05/2017;08/06/2017;2258.41;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16910368201600000273P;FA051405;PAGO CONFIRMADO;903,36;0;31/05/2017;08/06/2017;903.36;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16009293201700000001P;FA051357;PAGO CONFIRMADO;31,35;0;31/05/2017;08/06/2017;31.35;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901637201700000726P;FA051347;PAGO CONFIRMADO;904,34;0;30/05/2017;07/06/2017;904.34;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16784681201700000001P;FA051341;PAGO CONFIRMADO;34,03;0;30/05/2017;07/06/2017;34.03;06/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16927611201700000355P;FA051330;PAGO CONFIRMADO;90,43;0;30/05/2017;07/06/2017;90.43;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16901637201700000715P;FA051328;PAGO CONFIRMADO;904,34;0;30/05/2017;07/06/2017;904.34;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901637201700000714P;FA051324;PAGO CONFIRMADO;904,34;0;30/05/2017;07/06/2017;904.34;06/06/2017;ARCSA;31/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16901624201700000035P;FA051298;PAGO CONFIRMADO;71,47;0;30/05/2017;07/06/2017;71.47;06/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
16932604201700000021P;FA051311;PAGO CONFIRMADO;90,43;0;30/05/2017;07/06/2017;90.43;06/06/2017;ARCSA;30/05/2017;BANCO DEL PACIFICO;DINERO ELECTRONICO;LIQUIDACION POR SOLICITUD VUE
16792791201700000044P;FA051294;PAGO CONFIRMADO;904,34;0;30/05/2017;07/06/2017;904.34;06/06/2017;ARCSA;06/06/2017;BANCO DEL PACIFICO;VENTANILLA;LIQUIDACION POR SOLICITUD VUE
